Arduino Datalogger Output
Temperature and Relative Humidity Sensor Output
Measurements using a AM2301B Sensor
RecordNumber,Time_s,AvgTemperature_DegC,AvgHumidity_%
1,60.00,27.71,30.96
2,120.00,27.65,31.10
3,180.00,27.59,31.13
4,240.00,27.50,31.31
5,300.00,27.45,31.43
6,360.00,27.39,31.59
7,420.00,27.30,31.74
8,480.00,27.19,31.91
9,540.00,27.03,32.18
10,600.00,26.87,32.51
11,660.00,26.72,32.73
12,720.00,26.57,33.01
13,780.00,26.45,33.25
14,840.00,26.35,33.45
15,900.00,26.27,33.65
16,960.00,26.16,33.85
17,1020.00,26.08,34.01
18,1080.00,26.02,34.16
19,1140.00,25.97,34.27
20,1200.00,26.33,33.77
21,1260.00,27.02,32.49
22,1320.00,27.48,31.54
23,1380.00,27.75,31.05
24,1440.00,27.90,30.73
25,1500.00,28.01,30.55
26,1560.00,28.07,30.44
27,1620.00,28.09,30.33
28,1680.00,28.11,30.34
29,1740.00,28.14,30.30
30,1800.00,28.11,30.33
31,1860.00,28.14,30.26
32,1920.00,28.13,30.29
33,1980.00,28.05,30.40
34,2040.00,27.95,30.62
35,2100.00,27.84,30.79
36,2160.00,27.74,30.93
37,2220.00,27.66,31.10
38,2280.00,27.61,31.22
39,2340.00,27.56,31.28
40,2400.00,27.51,31.36
41,2460.00,27.50,31.40
42,2520.00,27.52,31.37
43,2580.00,27.58,31.28
44,2640.00,27.66,31.11
45,2700.00,27.72,30.96
46,2760.00,27.77,30.93
47,2820.00,27.80,30.87
48,2880.00,27.83,30.82
49,2940.00,27.87,30.77
50,3000.00,27.91,30.71
51,3060.00,27.92,30.74
52,3120.00,27.93,30.65
53,3180.00,27.93,30.62
54,3240.00,27.92,30.53
55,3300.00,27.90,30.29
56,3360.00,27.79,30.44
57,3420.00,27.66,30.57
58,3480.00,27.48,30.80
59,3540.00,27.30,31.08
60,3600.00,27.12,31.31
61,3660.00,26.95,31.56
62,3720.00,26.79,31.82
63,3780.00,26.65,32.02
